	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	45545.29666235009	91244699.38841757	-0.006002333231531968	-0.1650369442791146	-45545.296661723114	-2.9745164754746783e-06	-1.0130298424598965e-05	-0.9999999999442615	
	Epair	45731.21135536166	91243427.6142436	-0.006583776321331131	-0.16696758068169595	-45731.21135472375	-3.3433946383744287e-06	-1.0566970851085051e-05	-0.9999999999385772	
	Epair	45803.87222038232	91212673.23434481	-0.006829869110396239	-0.16773647974473824	-45803.872219739926	-3.390262063328005e-06	-1.038928865726629e-05	-0.9999999999402812	
	Epair	46071.150081518885	91189887.89269032	-0.007723525061105541	-0.1705177809300422	-46071.15008086053	-3.4457382707823844e-06	-1.0751010844726761e-05	-0.9999999999362682	
	Epair	46254.22482674751	91181508.55582696	-0.008338000200271162	-0.17247877876721263	-46254.22482607762	-3.296326828127009e-06	-1.093808168699154e-05	-0.9999999999347432	
	Epair	46961.79331126246	91170110.39794478	-0.01046255115817236	-0.18003897983024136	-46961.79331054899	-2.7268938236564084e-06	-1.026894308372641e-05	-0.9999999999435533	
	Epair	47277.23304467361	91166780.01606415	-0.011306003704703405	-0.18324019565179897	-47277.23304394276	-2.6959856716174607e-06	-1.0128521397410842e-05	-0.9999999999450692	
	Epair	47796.82562136363	91165077.53498445	-0.012797833376566085	-0.1884843108920379	-47796.82562060417	-2.7429968197435093e-06	-1.0031992803364768e-05	-0.9999999999459144	
	Epair	47858.663828444915	91164387.14061645	-0.01295879513362557	-0.18912429290708732	-47858.663827681936	-2.5259325501305866e-06	-1.031742669357852e-05	-0.999999999943582	
	Epair	47894.154087544994	91162953.39834589	-0.013043881170425653	-0.18948909300109287	-47894.154086780036	-2.292032865090282e-06	-1.0121066254116744e-05	-0.9999999999461522	
	Epair	47933.84797329989	91149751.59017901	-0.013137382837523276	-0.1898920142904027	-47933.84797253277	-2.4781712599662984e-06	-1.0268065303175684e-05	-0.9999999999442095	
	Epair	47944.556933878725	91139957.6989931	-0.013164351240188913	-0.19000160222601306	-47944.55693311102	-2.522462468275274e-06	-1.0246024478007669e-05	-0.9999999999443249	
	Epair	48719.75100141651	91006696.99928986	-0.015798361838699142	-0.19813132581988993	-48719.7510006017	-4.436839488487728e-06	-1.0674115454834132e-05	-0.9999999999331856	
	Epair	49368.8523873601	90998514.49399686	-0.018805673529408446	-0.20506884042411394	-49368.85238650125	-4.570225006643743e-06	-1.0983668796252186e-05	-0.9999999999292327	
	Epair	49379.06317540393	90994088.83358902	-0.01885259141962337	-0.20518066256528492	-49379.06317454435	-4.661149935286088e-06	-1.0948413296111194e-05	-0.9999999999291996	
	Epair	49827.20793791995	90822791.74324375	-0.020952769229481766	-0.21027472180082923	-49827.2079370265	-4.934251647520513e-06	-1.1468829055969486e-05	-0.9999999999220562	
	Epair	50630.18580721453	90820140.643005	-0.02456292740013429	-0.21952076063277687	-50630.18580625973	-4.363751569424487e-06	-1.1334664851481435e-05	-0.9999999999262382	
	Epair	50648.89753764538	90819479.20872864	-0.024643116504756094	-0.21973410113507807	-50648.8975366892	-4.260863361337134e-06	-1.138798008534773e-05	-0.9999999999260761	
	Epair	50770.69861209147	90818543.91462107	-0.02515887296761368	-0.22110375531413928	-50770.69861112649	-4.329749916564497e-06	-1.1387381120704006e-05	-0.999999999925787	
